Area Name,Area ID,Normalised Name,Region Name,Region ID,Location Type,Online,Status
Online,AREA-ONLINE,online,Online,REGION-ONLINE,Online,true,Canonical
Abbey Caves,AREA-LINZ-2841,abbey caves,Northland Region,01,Suburb,false,Canonical
Ahipara,AREA-LINZ-2793,ahipara,Northland Region,01,Suburb,false,Canonical
Aranga,AREA-LINZ-2777,aranga,Northland Region,01,Rural locality,false,Canonical
Arapohue,AREA-LINZ-40,arapohue,Northland Region,01,Rural locality,false,Canonical
Ararua,AREA-LINZ-42,ararua,Northland Region,01,Rural locality,false,Canonical
Aratapu,AREA-LINZ-43,aratapu,Northland Region,01,Rural locality,false,Canonical
Avenues,AREA-LINZ-71,avenues,Northland Region,01,Suburb,false,Canonical
Awakino Point,AREA-LINZ-79,awakino point,Northland Region,01,Rural locality,false,Canonical
Awanui,AREA-LINZ-2792,awanui,Northland Region,01,Rural locality,false,Canonical
Awarua,AREA-LINZ-2055,awarua,Northland Region,01,Rural locality,false,Canonical
Baylys Beach,AREA-LINZ-2778,baylys beach,Northland Region,01,Rural locality,false,Canonical
Broadwood,AREA-LINZ-2956,broadwood,Northland Region,01,Rural locality,false,Canonical
Brynderwyn,AREA-LINZ-172,brynderwyn,Northland Region,01,Rural locality,false,Canonical
Cable Bay,AREA-LINZ-2807,cable bay,Northland Region,01,Suburb,false,Canonical
Cape Reinga,AREA-LINZ-2797,cape reinga,Northland Region,01,Rural locality,false,Canonical
Coopers Beach,AREA-LINZ-2809,coopers beach,Northland Region,01,Suburb,false,Canonical
Dargaville,AREA-LINZ-283,dargaville,Northland Region,01,Suburb,false,Canonical
Donnellys Crossing,AREA-LINZ-298,donnellys crossing,Northland Region,01,Rural locality,false,Canonical
Glenbervie,AREA-LINZ-424,glenbervie,Northland Region,01,Rural locality,false,Canonical
Glenbervie Forest,AREA-LINZ-8666,glenbervie forest,Northland Region,01,Suburb,false,Canonical
Hakaru,AREA-LINZ-484,hakaru,Northland Region,01,Rural locality,false,Canonical
Haruru,AREA-LINZ-2814,haruru,Northland Region,01,Rural locality,false,Canonical
Helena Bay,AREA-LINZ-2826,helena bay,Northland Region,01,Rural locality,false,Canonical
Herekino,AREA-LINZ-2790,herekino,Northland Region,01,Rural locality,false,Canonical
Hihi,AREA-LINZ-2810,hihi,Northland Region,01,Rural locality,false,Canonical
Hikurangi,AREA-LINZ-537,hikurangi,Northland Region,01,Suburb,false,Canonical
Hoanga,AREA-LINZ-554,hoanga,Northland Region,01,Rural locality,false,Canonical
Horahora,AREA-LINZ-568,horahora,Northland Region,01,Suburb,false,Canonical
Horeke,AREA-LINZ-2784,horeke,Northland Region,01,Rural locality,false,Canonical
Houhora,AREA-LINZ-2801,houhora,Northland Region,01,Rural locality,false,Canonical
Hūkerenui,AREA-LINZ-583,hukerenui,Northland Region,01,Rural locality,false,Canonical
Kaeo,AREA-LINZ-6569,kaeo,Northland Region,01,Rural locality,false,Canonical
Kaihu,AREA-LINZ-2178,kaihu,Northland Region,01,Rural locality,false,Canonical
Kaikohe,AREA-LINZ-4017,kaikohe,Northland Region,01,Suburb,false,Canonical
Kaimaumau,AREA-LINZ-2791,kaimaumau,Northland Region,01,Rural locality,false,Canonical
Kaingaroa,AREA-LINZ-2805,kaingaroa,Northland Region,01,Rural locality,false,Canonical
Kaitaia,AREA-LINZ-640,kaitaia,Northland Region,01,Suburb,false,Canonical
Kaiwaka,AREA-LINZ-2761,kaiwaka,Northland Region,01,Rural locality,false,Canonical
Karetu,AREA-LINZ-2823,karetu,Northland Region,01,Rural locality,false,Canonical
